id,price,date,condition,credit,client_id,saler_id,car_id
1,15200,2021-03-01 00:00:00 +0000 +0000,новый,false,1,1,1
2,13800,2021-03-02 00:00:00 +0000 +0000,подержанный,true,2,2,2
3,16750,2021-03-03 00:00:00 +0000 +0000,новый,false,3,3,3
4,12400,2021-03-04 00:00:00 +0000 +0000,подержанный,true,4,4,4
5,15800,2021-03-05 00:00:00 +0000 +0000,новый,false,5,5,5
6,13100,2021-03-06 00:00:00 +0000 +0000,подержанный,true,6,6,6
7,16200,2021-03-07 00:00:00 +0000 +0000,новый,false,7,7,7
8,14500,2021-03-08 00:00:00 +0000 +0000,подержанный,true,8,8,8
9,17500,2021-03-09 00:00:00 +0000 +0000,новый,false,9,9,9
10,13900,2021-03-10 00:00:00 +0000 +0000,подержанный,true,10,10,10
11,15300,2021-03-11 00:00:00 +0000 +0000,новый,false,11,11,11
12,14000,2021-03-12 00:00:00 +0000 +0000,подержанный,true,12,12,12
13,16000,2021-03-13 00:00:00 +0000 +0000,новый,false,13,13,13
14,14200,2021-03-14 00:00:00 +0000 +0000,подержанный,true,14,14,14
15,15700,2021-03-15 00:00:00 +0000 +0000,новый,false,15,15,15
16,13600,2021-03-16 00:00:00 +0000 +0000,подержанный,true,16,16,16
17,16500,2021-03-17 00:00:00 +0000 +0000,новый,false,17,17,17
18,14100,2021-03-18 00:00:00 +0000 +0000,подержанный,true,18,18,18
19,16900,2021-03-19 00:00:00 +0000 +0000,новый,false,19,19,19
20,13500,2021-03-20 00:00:00 +0000 +0000,подержанный,true,20,20,20
21,15400,2021-03-21 00:00:00 +0000 +0000,новый,false,21,21,21
22,13200,2021-03-22 00:00:00 +0000 +0000,подержанный,true,22,22,22
23,16800,2021-03-23 00:00:00 +0000 +0000,новый,false,23,23,23
24,14300,2021-03-24 00:00:00 +0000 +0000,подержанный,true,24,24,24
25,15600,2021-03-25 00:00:00 +0000 +0000,новый,false,25,25,25
26,13800,2021-03-26 00:00:00 +0000 +0000,подержанный,true,26,26,26
27,16300,2021-03-27 00:00:00 +0000 +0000,новый,false,27,27,27
28,13700,2021-03-28 00:00:00 +0000 +0000,подержанный,true,28,28,28
29,17000,2021-03-29 00:00:00 +0000 +0000,новый,false,29,29,29
30,14000,2021-03-30 00:00:00 +0000 +0000,подержанный,true,30,30,30
